Name,Price,FuelType,Image,Brand
EQE Sedan,1.20 Cr,Electric,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mercedes-Benz/EQE-Sedan/12274/1736168318069/front-left-side-47.jpg,Mercedes-Benz
GV80,Price To Be Announced,Petrol,https://stimg.cardekho.com/images/carexteriorimages/630x420/Genesis/GV80/12993/1760526947480/front-left-side-47.jpg,Genesis
Fronx EV,12 Lakh,Electric,https://stimg.cardekho.com/images/carexteriorimages/630x420/Maruti/Fronx-EV/9619/1753362376046/front-left-side-47.jpg,Maruti
Mini Fortuner,20 - 27 Lakh,Petrol,https://stimg.cardekho.com/images/carexteriorimages/630x420/Toyota/Mini-Fortuner/12275/1753424505337/front-left-side-47.jpg,Toyota
Avinya X,45 Lakh,Electric,https://stimg.cardekho.com/images/carexteriorimages/630x420/Tata/Avinya/9002/1737111316584/front-left-side-47.jpg,Tata
Vision S,Price To Be Announced,Electric,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Vision-S/12781/1755320250188/front-left-side-47.jpg,Mahindra
Vision T,Price To Be Announced,Electric,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Vision-T/12780/1755320587136/front-left-side-47.jpg,Mahindra
Jimny EV,18 Lakh,Electric,https://stimg.cardekho.com/images/carexteriorimages/630x420/Maruti/Jimny-EV/9620/1751974562948/front-left-side-47.jpg,Maruti
IM5,Price To Be Announced,Electric,https://stimg.cardekho.com/images/carexteriorimages/630x420/MG/IM5/12374/1737199329194/front-left-side-47.jpg,MG
IM6,Price To Be Announced,Electric,https://stimg.cardekho.com/images/carexteriorimages/630x420/MG/IM6/12375/1737201155765/front-left-side-47.jpg,MG
Vision SXT,Price To Be Announced,Electric,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Vision-SXT/12782/1755320354485/front-left-side-47.jpg,Mahindra
12Cilindri,8.50 - 9.15 Cr,Petrol,https://stimg.cardekho.com/images/carexteriorimages/630x420/Ferrari/12Cilindri/12558/1746181905129/front-left-side-47.jpg,Ferrari
Vision X,Price To Be Announced,Electric,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Vision-X/12783/1755320468245/front-left-side-47.jpg,Mahindra
